Category,Variable,Measure,Value,Group
pop,2814044,65-69,11185605,National
case of NMSC in 2014,0,65-69,755.0283375,National
pop,3019983,65-69,13102481,National
case of NMSC in 2015,0.9059949,65-69,885.7277156,National
pop,3815719,65-69,16408891,National
case of NMSC in 2016,8.0130099,65-69,1145.3405918,National
pop,4653648,65-69,19479486,National
case of NMSC in 2017,2.7921888,65-69,1388.8873518,National
pop,5351889,65-69,24472174,National
case of NMSC in 2018,4.8167001,65-69,1869.6740936,National
Incident of NMSC in 2005,0,70-74,9.43,National
Incident of NMSC in 2006,0.27,70-74,10.71,National
Incident of NMSC in 2007,0,70-74,9.81,National
Incident of NMSC in 2008,0.23,70-74,12.74,National
Incident of NMSC in 2009,0.16,70-74,9.57,National
Incident of NMSC in 2010,0,70-74,8.58,National
Incident of NMSC in 2011,0,70-74,10.38,National
Incident of NMSC in 2012,0.21,70-74,8.99,National
Incident of NMSC in 2013,0.05,70-74,8.93,National
Incident of NMSC in 2014,0,70-74,9.73,National
Incident of NMSC in 2015,0.03,70-74,9.86,National
Incident of NMSC in 2016,0.21,70-74,9.95,National
Incident of NMSC in 2017,0.06,70-74,10.39,National
Incident of NMSC in 2018,0.09,70-74,11.61,National
Incident of NMSC in 2018,0-,70-74,70-74,National
pop,328711,70-74,1781580,National
case of NMSC in 2005,0,70-74,168.002994,National
pop,366806,70-74,1951450,National
case of NMSC in 2006,0.9903762,70-74,209.000295,National
pop,406298,70-74,1967923,National
case of NMSC in 2007,0,70-74,193.0532463,National
pop,435222,70-74,2213476,National
case of NMSC in 2008,1.0010106,70-74,281.9968424,National
pop,620042,70-74,2623699,National
case of NMSC in 2009,0.9920672,70-74,251.0879943,National
pop,1039937,70-74,3660461,National
case of NMSC in 2010,0,70-74,314.0675538,National
pop,1296974,70-74,4191455,National
case of NMSC in 2011,0,70-74,435.073029,National
pop,1876699,70-74,5563404,National
case of NMSC in 2012,3.9410679,70-74,500.1500196,National
pop,2111613,70-74,6396462,National
case of NMSC in 2013,1.0558065,70-74,571.2040566,National
pop,2814044,70-74,8198251,National
case of NMSC in 2014,0,70-74,797.6898223,National
pop,3019983,70-74,9531954,National
case of NMSC in 2015,0.9059949,70-74,939.8506644,National
pop,3815719,70-74,11537525,National
case of NMSC in 2016,8.0130099,70-74,1147.9837375,National
pop,4653648,70-74,13536013,National
case of NMSC in 2017,2.7921888,70-74,1406.3917507,National
pop,5351889,70-74,16823799,National
case of NMSC in 2018,4.8167001,70-74,1953.2430639,National
Incident of NMSC in 2005,0,75-79,15.11,National
Incident of NMSC in 2006,0.27,75-79,14.15,National
Incident of NMSC in 2007,0,75-79,14.43,National
Incident of NMSC in 2008,0.23,75-79,16.02,National
Incident of NMSC in 2009,0.16,75-79,14.36,National
Incident of NMSC in 2010,0,75-79,12.99,National
Incident of NMSC in 2011,0,75-79,14.46,National
Incident of NMSC in 2012,0.21,75-79,14.27,National
Incident of NMSC in 2013,0.05,75-79,14.39,National
Incident of NMSC in 2014,0,75-79,13.89,National
Incident of NMSC in 2015,0.03,75-79,14.27,National
Incident of NMSC in 2016,0.21,75-79,14.76,National
Incident of NMSC in 2017,0.06,75-79,14.21,National
Incident of NMSC in 2018,0.09,75-79,15.6,National
Incident of NMSC in 2018,0-,75-79,75-79,National
pop,328711,75-79,1164872,National
case of NMSC in 2005,0,75-79,176.0121592,National
pop,366806,75-79,1286489,National
case of NMSC in 2006,0.9903762,75-79,182.0381935,National
pop,406298,75-79,1316812,National
case of NMSC in 2007,0,75-79,190.0159716,National
pop,435222,75-79,1616957,National
case of NMSC in 2008,1.0010106,75-79,259.0365114,National
pop,620042,75-79,1984938,National
case of NMSC in 2009,0.9920672,75-79,285.0370968,National
pop,1039937,75-79,2856613,National
case of NMSC in 2010,0,75-79,371.0740287,National
pop,1296974,75-79,3369063,National
case of NMSC in 2011,0,75-79,487.1665098,National
pop,1876699,75-79,4541419,National
case of NMSC in 2012,3.9410679,75-79,648.0604913,National
pop,2111613,75-79,5227037,National
case of NMSC in 2013,1.0558065,75-79,752.1706243,National
pop,2814044,75-79,6623616,National
case of NMSC in 2014,0,75-79,920.0202624,National
pop,3019983,75-79,7359252,National
case of NMSC in 2015,0.9059949,75-79,1050.1652604,National
pop,3815719,75-79,8712937,National
case of NMSC in 2016,8.0130099,75-79,1286.0295012,National
pop,4653648,75-79,9963871,National
case of NMSC in 2017,2.7921888,75-79,1415.8660691,National
pop,5351889,75-79,11984179,National
case of NMSC in 2018,4.8167001,75-79,1869.531924,National
Incident of NMSC in 2005,0,80-84,15.43,National
Incident of NMSC in 2006,0.27,80-84,22.95,National
Incident of NMSC in 2007,0,80-84,20.91,National
Incident of NMSC in 2008,0.23,80-84,19.74,National
Incident of NMSC in 2009,0.16,80-84,20.59,National
Incident of NMSC in 2010,0,80-84,20.1,National
Incident of NMSC in 2011,0,80-84,21.34,National
Incident of NMSC in 2012,0.21,80-84,20.47,National
Incident of NMSC in 2013,0.05,80-84,19.26,National
Incident of NMSC in 2014,0,80-84,20.52,National
Incident of NMSC in 2015,0.03,80-84,19.7,National
Incident of NMSC in 2016,0.21,80-84,20.84,National
Incident of NMSC in 2017,0.06,80-84,22.21,National
Incident of NMSC in 2018,0.09,80-84,23.33,National
Incident of NMSC in 2018,0-,80-84,80-84,National
pop,328711,80-84,628448,National
case of NMSC in 2005,0,80-84,96.9695264,National
pop,366806,80-84,692922,National
case of NMSC in 2006,0.9903762,80-84,159.025599,National
pop,406298,80-84,731771,National
case of NMSC in 2007,0,80-84,153.0133161,National
pop,435222,80-84,911879,National
case of NMSC in 2008,1.0010106,80-84,180.0049146,National
pop,620042,80-84,1121727,National
case of NMSC in 2009,0.9920672,80-84,230.9635893,National
pop,1039937,80-84,1626951,National
case of NMSC in 2010,0,80-84,327.017151,National
pop,1296974,80-84,1939748,National
case of NMSC in 2011,0,80-84,413.9422232,National
pop,1876699,80-84,2697064,National
case of NMSC in 2012,3.9410679,80-84,552.0890008,National
pop,2111613,80-84,3176953,National
case of NMSC in 2013,1.0558065,80-84,611.8811478,National
pop,2814044,80-84,4220840,National
case of NMSC in 2014,0,80-84,866.116368,National
pop,3019983,80-84,4867545,National
case of NMSC in 2015,0.9059949,80-84,958.906365,National
pop,3815719,80-84,5872725,National
case of NMSC in 2016,8.0130099,80-84,1223.87589,National
pop,4653648,80-84,6726575,National
case of NMSC in 2017,2.7921888,80-84,1493.9723075,National
pop,5351889,80-84,8101104,National
case of NMSC in 2018,4.8167001,80-84,1889.9875632,National
Incident of NMSC in 2005,0,85+,20.47,National
Incident of NMSC in 2006,0.27,85+,32.72,National
Incident of NMSC in 2007,0,85+,30.82,National
Incident of NMSC in 2008,0.23,85+,30.77,National
Incident of NMSC in 2009,0.16,85+,24.33,National
Incident of NMSC in 2010,0,85+,23.35,National
Incident of NMSC in 2011,0,85+,28.74,National
Incident of NMSC in 2012,0.21,85+,27.92,National
Incident of NMSC in 2013,0.05,85+,25.87,National
Incident of NMSC in 2014,0,85+,26.9,National
Incident of NMSC in 2015,0.03,85+,28.13,National
Incident of NMSC in 2016,0.21,85+,28.23,National
Incident of NMSC in 2017,0.06,85+,30.31,National
Incident of NMSC in 2018,0.09,85+,33.9,National
Incident of NMSC in 2018,0-,85+,85+,National
pop,328711,85+,361567,National
case of NMSC in 2005,0,85+,74.0127649,National
pop,366806,85+,394259,National
case of NMSC in 2006,0.9903762,85+,129.0015448,National
pop,406298,85+,421807,National
case of NMSC in 2007,0,85+,130.0009174,National
pop,435222,85+,546050,National
case of NMSC in 2008,1.0010106,85+,168.019585,National
pop,620042,85+,673988,National
case of NMSC in 2009,0.9920672,85+,163.9812804,National
pop,1039937,85+,955124,National
case of NMSC in 2010,0,85+,223.021454,National
pop,1296974,85+,1141190,National
case of NMSC in 2011,0,85+,327.978006,National
pop,1876699,85+,1615242,National
case of NMSC in 2012,3.9410679,85+,450.9755664,National
pop,2111613,85+,1963784,National
case of NMSC in 2013,1.0558065,85+,508.0309208,National
pop,2814044,85+,2706034,National
case of NMSC in 2014,0,85+,727.923146,National
pop,3019983,85+,3305902,National
case of NMSC in 2015,0.9059949,85+,929.9502326,National
pop,3815719,85+,3985758,National
case of NMSC in 2016,8.0130099,85+,1125.1794834,National
pop,4653648,85+,4580044,National
case of NMSC in 2017,2.7921888,85+,1388.2113364,National
pop,5351889,85+,5636502,National
case of NMSC in 2018,4.8167001,85+,1910.774178,National
Incident of NMSC in 2005,0,1-4,0,Male
Incident of NMSC in 2006,0.52,1-4,0,Male
Incident of NMSC in 2007,0,1-4,0,Male
Incident of NMSC in 2008,0,1-4,0.1,Male
Incident of NMSC in 2009,0.31,1-4,0,Male
Incident of NMSC in 2010,0,1-4,0.08,Male
Incident of NMSC in 2011,0,1-4,0.1,Male
Incident of NMSC in 2012,0.2,1-4,0.05,Male
Incident of NMSC in 2013,0.09,1-4,0.1,Male
Incident of NMSC in 2014,0,1-4,0.03,Male
Incident of NMSC in 2015,0.06,1-4,0.1,Male
Incident of NMSC in 2016,0.2,1-4,0.05,Male
Incident of NMSC in 2017,0,1-4,0.1,Male
Incident of NMSC in 2018,0.07,1-4,0.07,Male
Incident of NMSC in 2018,0-,1-4,1-4,Male
pop,173406,1-4,795080,Male
case of NMSC in 2005,0,1-4,0,Male
pop,192243,1-4,879471,Male
case of NMSC in 2006,0.9996636,1-4,0,Male
pop,214585,1-4,894983,Male
case of NMSC in 2007,0,1-4,0,Male
pop,230304,1-4,988089,Male
case of NMSC in 2008,0,1-4,0.988089,Male
pop,327151,1-4,1444017,Male
case of NMSC in 2009,1.0141681,1-4,0,Male
pop,553502,1-4,2381653,Male
case of NMSC in 2010,0,1-4,1.9053224,Male
pop,684618,1-4,2936828,Male
case of NMSC in 2011,0,1-4,2.936828,Male
pop,994252,1-4,4074266,Male
case of NMSC in 2012,1.988504,1-4,2.037133,Male
pop,1120183,1-4,4793423,Male
case of NMSC in 2013,1.0081647,1-4,4.793423,Male
pop,1492182,1-4,6311799,Male
case of NMSC in 2014,0,1-4,1.8935397,Male
pop,1603833,1-4,7337612,Male
case of NMSC in 2015,0.9622998,1-4,7.337612,Male
pop,2027078,1-4,8826047,Male
case of NMSC in 2016,4.054156,1-4,4.4130235,Male
pop,2465356,1-4,10544615,Male
case of NMSC in 2017,0,1-4,10.544615,Male
pop,2831943,1-4,12729464,Male
case of NMSC in 2018,1.9823601,1-4,8.9106248,Male
Incident of NMSC in 2005,0,5-9,0,Male
Incident of NMSC in 2006,0.52,5-9,0,Male
Incident of NMSC in 2007,0,5-9,0,Male
Incident of NMSC in 2008,0,5-9,0,Male
Incident of NMSC in 2009,0.31,5-9,0.05,Male
Incident of NMSC in 2010,0,5-9,0.07,Male
Incident of NMSC in 2011,0,5-9,0.06,Male
Incident of NMSC in 2012,0.2,5-9,0.08,Male
Incident of NMSC in 2013,0.09,5-9,0.07,Male
Incident of NMSC in 2014,0,5-9,0.04,Male
Incident of NMSC in 2015,0.06,5-9,0.07,Male
Incident of NMSC in 2016,0.2,5-9,0.09,Male
Incident of NMSC in 2017,0,5-9,0.09,Male
Incident of NMSC in 2018,0.07,5-9,0.15,Male
Incident of NMSC in 2018,0-,5-9,5-9,Male
pop,173406,5-9,1315532,Male
case of NMSC in 2005,0,5-9,0,Male
pop,192243,5-9,1343415,Male
case of NMSC in 2006,0.9996636,5-9,0,Male
pop,214585,5-9,1333850,Male
case of NMSC in 2007,0,5-9,0,Male
pop,230304,5-9,1347405,Male
case of NMSC in 2008,0,5-9,0,Male
pop,327151,5-9,1900139,Male
case of NMSC in 2009,1.0141681,5-9,0.9500695,Male
pop,553502,5-9,3024624,Male
case of NMSC in 2010,0,5-9,2.1172368,Male
pop,684618,5-9,3538965,Male
case of NMSC in 2011,0,5-9,2.123379,Male
pop,994252,5-9,4762697,Male
case of NMSC in 2012,1.988504,5-9,3.8101576,Male
pop,1120183,5-9,5806795,Male
case of NMSC in 2013,1.0081647,5-9,4.0647565,Male
pop,1492182,5-9,7508364,Male
case of NMSC in 2014,0,5-9,3.0033456,Male
pop,1603833,5-9,8628305,Male
case of NMSC in 2015,0.9622998,5-9,6.0398135,Male
pop,2027078,5-9,10617166,Male
case of NMSC in 2016,4.054156,5-9,9.5554494,Male
pop,2465356,5-9,12744732,Male
case of NMSC in 2017,0,5-9,11.4702588,Male
pop,2831943,5-9,15279403,Male
case of NMSC in 2018,1.9823601,5-9,22.9191045,Male
Incident of NMSC in 2005,0,10-14,0.06,Male
Incident of NMSC in 2006,0.52,10-14,0,Male
Incident of NMSC in 2007,0,10-14,0,Male
Incident of NMSC in 2008,0,10-14,0,Male
Incident of NMSC in 2009,0.31,10-14,0.08,Male
Incident of NMSC in 2010,0,10-14,0.09,Male
Incident of NMSC in 2011,0,10-14,0.15,Male
Incident of NMSC in 2012,0.2,10-14,0.04,Male
Incident of NMSC in 2013,0.09,10-14,0.09,Male
Incident of NMSC in 2014,0,10-14,0.08,Male
Incident of NMSC in 2015,0.06,10-14,0.08,Male
Incident of NMSC in 2016,0.2,10-14,0.08,Male
Incident of NMSC in 2017,0,10-14,0.1,Male
Incident of NMSC in 2018,0.07,10-14,0.15,Male
Incident of NMSC in 2018,0-,10-14,10-14,Male
pop,173406,10-14,1717937,Male
case of NMSC in 2005,0,10-14,1.0307622,Male
pop,192243,10-14,1796678,Male
case of NMSC in 2006,0.9996636,10-14,0,Male
pop,214585,10-14,1761150,Male
case of NMSC in 2007,0,10-14,0,Male
pop,230304,10-14,1783907,Male
case of NMSC in 2008,0,10-14,0,Male
pop,327151,10-14,2379996,Male
case of NMSC in 2009,1.0141681,10-14,1.9039968,Male
pop,553502,10-14,3502563,Male
case of NMSC in 2010,0,10-14,3.1523067,Male
pop,684618,10-14,3921585,Male
case of NMSC in 2011,0,10-14,5.8823775,Male
pop,994252,10-14,5062836,Male
case of NMSC in 2012,1.988504,10-14,2.0251344,Male
pop,1120183,10-14,5683922,Male
case of NMSC in 2013,1.0081647,10-14,5.1155298,Male
pop,1492182,10-14,7183868,Male
case of NMSC in 2014,0,10-14,5.7470944,Male
pop,1603833,10-14,7984556,Male
case of NMSC in 2015,0.9622998,10-14,6.3876448,Male
pop,2027078,10-14,9693183,Male
case of NMSC in 2016,4.054156,10-14,7.7545464,Male
pop,2465356,10-14,11546149,Male
case of NMSC in 2017,0,10-14,11.546149,Male
pop,2831943,10-14,14201472,Male
case of NMSC in 2018,1.9823601,10-14,21.302208,Male
Incident of NMSC in 2005,0,15-19,0.09,Male
Incident of NMSC in 2006,0.52,15-19,0.18,Male
Incident of NMSC in 2007,0,15-19,0.09,Male
Incident of NMSC in 2008,0,15-19,0.32,Male
Incident of NMSC in 2009,0.31,15-19,0,Male
Incident of NMSC in 2010,0,15-19,0.08,Male
Incident of NMSC in 2011,0,15-19,0.15,Male
Incident of NMSC in 2012,0.2,15-19,0.06,Male
Incident of NMSC in 2013,0.09,15-19,0.12,Male
Incident of NMSC in 2014,0,15-19,0.13,Male
Incident of NMSC in 2015,0.06,15-19,0.2,Male
Incident of NMSC in 2016,0.2,15-19,0.15,Male
Incident of NMSC in 2017,0,15-19,0.25,Male
Incident of NMSC in 2018,0.07,15-19,0.16,Male
Incident of NMSC in 2018,0-,15-19,15-19,Male
pop,173406,15-19,2195880,Male
case of NMSC in 2005,0,15-19,1.976292,Male
pop,192243,15-19,2216555,Male
case of NMSC in 2006,0.9996636,15-19,3.989799,Male
pop,214585,15-19,2220957,Male
case of NMSC in 2007,0,15-19,1.9988613,Male
pop,230304,15-19,2207619,Male
case of NMSC in 2008,0,15-19,7.0643808,Male
pop,327151,15-19,2795480,Male
case of NMSC in 2009,1.0141681,15-19,0,Male
pop,553502,15-19,3942503,Male
case of NMSC in 2010,0,15-19,3.1540024,Male
pop,684618,15-19,4580296,Male
case of NMSC in 2011,0,15-19,6.870444,Male
pop,994252,15-19,6243621,Male
case of NMSC in 2012,1.988504,15-19,3.7461726,Male
pop,1120183,15-19,6949280,Male
case of NMSC in 2013,1.0081647,15-19,8.339136,Male
pop,1492182,15-19,8504790,Male
case of NMSC in 2014,0,15-19,11.056227,Male
pop,1603833,15-19,9049253,Male
case of NMSC in 2015,0.9622998,15-19,18.098506,Male
pop,2027078,15-19,10812109,Male
case of NMSC in 2016,4.054156,15-19,16.2181635,Male
pop,2465356,15-19,12216721,Male
case of NMSC in 2017,0,15-19,30.5418025,Male
pop,2831943,15-19,14585468,Male
case of NMSC in 2018,1.9823601,15-19,23.3367488,Male
Incident of NMSC in 2005,0,20-24,0.12,Male
Incident of NMSC in 2006,0.52,20-24,0.04,Male
Incident of NMSC in 2007,0,20-24,0.26,Male
Incident of NMSC in 2008,0,20-24,0.27,Male
Incident of NMSC in 2009,0.31,20-24,0.11,Male
Incident of NMSC in 2010,0,20-24,0.13,Male
Incident of NMSC in 2011,0,20-24,0.15,Male
Incident of NMSC in 2012,0.2,20-24,0.12,Male
Incident of NMSC in 2013,0.09,20-24,0.17,Male
Incident of NMSC in 2014,0,20-24,0.17,Male
Incident of NMSC in 2015,0.06,20-24,0.13,Male
Incident of NMSC in 2016,0.2,20-24,0.15,Male
Incident of NMSC in 2017,0,20-24,0.2,Male
Incident of NMSC in 2018,0.07,20-24,0.15,Male
Incident of NMSC in 2018,0-,20-24,20-24,Male
pop,173406,20-24,2468195,Male
case of NMSC in 2005,0,20-24,2.961834,Male
pop,192243,20-24,2566537,Male
case of NMSC in 2006,0.9996636,20-24,1.0266148,Male
pop,214585,20-24,2722091,Male
case of NMSC in 2007,0,20-24,7.0774366,Male
pop,230304,20-24,2909458,Male
case of NMSC in 2008,0,20-24,7.8555366,Male
pop,327151,20-24,3790457,Male
case of NMSC in 2009,1.0141681,20-24,4.1695027,Male
pop,553502,20-24,5311134,Male
case of NMSC in 2010,0,20-24,6.9044742,Male
pop,684618,20-24,6037264,Male
case of NMSC in 2011,0,20-24,9.055896,Male
pop,994252,20-24,8380644,Male
case of NMSC in 2012,1.988504,20-24,10.0567728,Male
pop,1120183,20-24,9187448,Male
case of NMSC in 2013,1.0081647,20-24,15.6186616,Male
pop,1492182,20-24,11413925,Male
case of NMSC in 2014,0,20-24,19.4036725,Male
pop,1603833,20-24,11875899,Male
case of NMSC in 2015,0.9622998,20-24,15.4386687,Male
pop,2027078,20-24,13604438,Male
case of NMSC in 2016,4.054156,20-24,20.406657,Male
pop,2465356,20-24,14815642,Male
case of NMSC in 2017,0,20-24,29.631284,Male
pop,2831943,20-24,17702871,Male
case of NMSC in 2018,1.9823601,20-24,26.5543065,Male
Incident of NMSC in 2005,0,25-29,0.33,Male
Incident of NMSC in 2006,0.52,25-29,0.38,Male
Incident of NMSC in 2007,0,25-29,0.49,Male
Incident of NMSC in 2008,0,25-29,0.36,Male
Incident of NMSC in 2009,0.31,25-29,0.14,Male
Incident of NMSC in 2010,0,25-29,0.31,Male
Incident of NMSC in 2011,0,25-29,0.23,Male
Incident of NMSC in 2012,0.2,25-29,0.24,Male
Incident of NMSC in 2013,0.09,25-29,0.24,Male
Incident of NMSC in 2014,0,25-29,0.27,Male
Incident of NMSC in 2015,0.06,25-29,0.28,Male
Incident of NMSC in 2016,0.2,25-29,0.3,Male
Incident of NMSC in 2017,0,25-29,0.3,Male
Incident of NMSC in 2018,0.07,25-29,0.32,Male
Incident of NMSC in 2018,0-,25-29,25-29,Male
pop,173406,25-29,2135309,Male
case of NMSC in 2005,0,25-29,7.0465197,Male
pop,192243,25-29,2376828,Male
case of NMSC in 2006,0.9996636,25-29,9.0319464,Male
pop,214585,25-29,2457773,Male
case of NMSC in 2007,0,25-29,12.0430877,Male
pop,230304,25-29,2787889,Male
case of NMSC in 2008,0,25-29,10.0364004,Male
pop,327151,25-29,3687009,Male
case of NMSC in 2009,1.0141681,25-29,5.1618126,Male
pop,553502,25-29,5202735,Male
case of NMSC in 2010,0,25-29,16.1284785,Male
pop,684618,25-29,6017399,Male
case of NMSC in 2011,0,25-29,13.8400177,Male
pop,994252,25-29,8188498,Male
case of NMSC in 2012,1.988504,25-29,19.6523952,Male
pop,1120183,25-29,9218141,Male
case of NMSC in 2013,1.0081647,25-29,22.1235384,Male
pop,1492182,25-29,11962976,Male
case of NMSC in 2014,0,25-29,32.3000352,Male
pop,1603833,25-29,13463823,Male
case of NMSC in 2015,0.9622998,25-29,37.6987044,Male
pop,2027078,25-29,15434056,Male
case of NMSC in 2016,4.054156,25-29,46.302168,Male
pop,2465356,25-29,16839085,Male
case of NMSC in 2017,0,25-29,50.517255,Male
pop,2831943,25-29,19615180,Male
case of NMSC in 2018,1.9823601,25-29,62.768576,Male
Incident of NMSC in 2005,0,30-34,0.3,Male
Incident of NMSC in 2006,0.52,30-34,0.2,Male
Incident of NMSC in 2007,0,30-34,0.42,Male
Incident of NMSC in 2008,0,30-34,0.63,Male
Incident of NMSC in 2009,0.31,30-34,0.45,Male
Incident of NMSC in 2010,0,30-34,0.45,Male
Incident of NMSC in 2011,0,30-34,0.3,Male
Incident of NMSC in 2012,0.2,30-34,0.49,Male
Incident of NMSC in 2013,0.09,30-34,0.42,Male
Incident of NMSC in 2014,0,30-34,0.39,Male
Incident of NMSC in 2015,0.06,30-34,0.39,Male
Incident of NMSC in 2016,0.2,30-34,0.42,Male
Incident of NMSC in 2017,0,30-34,0.47,Male
Incident of NMSC in 2018,0.07,30-34,0.44,Male
Incident of NMSC in 2018,0-,30-34,30-34,Male
pop,173406,30-34,2297322,Male
case of NMSC in 2005,0,30-34,6.891966,Male
pop,192243,30-34,2464449,Male
case of NMSC in 2006,0.9996636,30-34,4.928898,Male
pop,214585,30-34,2363922,Male
case of NMSC in 2007,0,30-34,9.9284724,Male
pop,230304,30-34,2530927,Male
case of NMSC in 2008,0,30-34,15.9448401,Male
pop,327151,30-34,3350468,Male
case of NMSC in 2009,1.0141681,30-34,15.077106,Male
pop,553502,30-34,4864799,Male
case of NMSC in 2010,0,30-34,21.8915955,Male
pop,684618,30-34,5711938,Male
case of NMSC in 2011,0,30-34,17.135814,Male
pop,994252,30-34,7792141,Male
case of NMSC in 2012,1.988504,30-34,38.1814909,Male
pop,1120183,30-34,8709451,Male
case of NMSC in 2013,1.0081647,30-34,36.5796942,Male
pop,1492182,30-34,10979497,Male
case of NMSC in 2014,0,30-34,42.8200383,Male
pop,1603833,30-34,12246457,Male
case of NMSC in 2015,0.9622998,30-34,47.7611823,Male
pop,2027078,30-34,14042473,Male
case of NMSC in 2016,4.054156,30-34,58.9783866,Male
pop,2465356,30-34,16005637,Male
case of NMSC in 2017,0,30-34,75.2264939,Male
pop,2831943,30-34,19464756,Male
case of NMSC in 2018,1.9823601,30-34,85.6449264,Male
Incident of NMSC in 2005,0,35-39,0.63,Male
Incident of NMSC in 2006,0.52,35-39,0.79,Male
Incident of NMSC in 2007,0,35-39,0.53,Male
Incident of NMSC in 2008,0,35-39,0.9,Male
Incident of NMSC in 2009,0.31,35-39,0.46,Male
Incident of NMSC in 2010,0,35-39,0.52,Male
Incident of NMSC in 2011,0,35-39,0.64,Male
Incident of NMSC in 2012,0.2,35-39,0.46,Male
Incident of NMSC in 2013,0.09,35-39,0.61,Male
Incident of NMSC in 2014,0,35-39,0.57,Male
Incident of NMSC in 2015,0.06,35-39,0.62,Male
Incident of NMSC in 2016,0.2,35-39,0.48,Male
Incident of NMSC in 2017,0,35-39,0.51,Male
Incident of NMSC in 2018,0.07,35-39,0.59,Male
Incident of NMSC in 2018,0-,35-39,35-39,Male
pop,173406,35-39,2399803,Male
case of NMSC in 2005,0,35-39,15.1187589,Male
pop,192243,35-39,2669541,Male
case of NMSC in 2006,0.9996636,35-39,21.0893739,Male
pop,214585,35-39,2665650,Male
case of NMSC in 2007,0,35-39,14.127945,Male
pop,230304,35-39,2886770,Male
case of NMSC in 2008,0,35-39,25.98093,Male
pop,327151,35-39,3687707,Male
case of NMSC in 2009,1.0141681,35-39,16.9634522,Male
pop,553502,35-39,5382560,Male
case of NMSC in 2010,0,35-39,27.989312,Male
pop,684618,35-39,6111802,Male
case of NMSC in 2011,0,35-39,39.1155328,Male
pop,994252,35-39,8013956,Male
case of NMSC in 2012,1.988504,35-39,36.8641976,Male
pop,1120183,35-39,8914855,Male
case of NMSC in 2013,1.0081647,35-39,54.3806155,Male
pop,1492182,35-39,11195114,Male
case of NMSC in 2014,0,35-39,63.8121498,Male
pop,1603833,35-39,12103610,Male
case of NMSC in 2015,0.9622998,35-39,75.042382,Male
pop,2027078,35-39,14671949,Male
case of NMSC in 2016,4.054156,35-39,70.4253552,Male
pop,2465356,35-39,16837620,Male
case of NMSC in 2017,0,35-39,85.871862,Male
pop,2831943,35-39,20154570,Male
case of NMSC in 2018,1.9823601,35-39,118.911963,Male
Incident of NMSC in 2005,0,40-44,1.25,Male
Incident of NMSC in 2006,0.52,40-44,1.42,Male
Incident of NMSC in 2007,0,40-44,1.21,Male
Incident of NMSC in 2008,0,40-44,1.05,Male
Incident of NMSC in 2009,0.31,40-44,0.61,Male
Incident of NMSC in 2010,0,40-44,0.97,Male
Incident of NMSC in 2011,0,40-44,0.92,Male
Incident of NMSC in 2012,0.2,40-44,0.78,Male
Incident of NMSC in 2013,0.09,40-44,1.03,Male
Incident of NMSC in 2014,0,40-44,0.77,Male
Incident of NMSC in 2015,0.06,40-44,1.05,Male
Incident of NMSC in 2016,0.2,40-44,0.87,Male
Incident of NMSC in 2017,0,40-44,0.86,Male
Incident of NMSC in 2018,0.07,40-44,0.91,Male
Incident of NMSC in 2018,0-,40-44,40-44,Male
pop,173406,40-44,2563943,Male
case of NMSC in 2005,0,40-44,32.0492875,Male
pop,192243,40-44,2807802,Male
case of NMSC in 2006,0.9996636,40-44,39.8707884,Male
pop,214585,40-44,2737200,Male
case of NMSC in 2007,0,40-44,33.12012,Male
pop,230304,40-44,2863495,Male
case of NMSC in 2008,0,40-44,30.0666975,Male
pop,327151,40-44,3635160,Male
case of NMSC in 2009,1.0141681,40-44,22.174476,Male
pop,553502,40-44,5466769,Male
case of NMSC in 2010,0,40-44,53.0276593,Male
pop,684618,40-44,6410317,Male
case of NMSC in 2011,0,40-44,58.9749164,Male
pop,994252,40-44,8963360,Male
case of NMSC in 2012,1.988504,40-44,69.914208,Male
pop,1120183,40-44,10196645,Male
case of NMSC in 2013,1.0081647,40-44,105.0254435,Male
pop,1492182,40-44,12704250,Male
case of NMSC in 2014,0,40-44,97.822725,Male
pop,1603833,40-44,13662267,Male
case of NMSC in 2015,0.9622998,40-44,143.4538035,Male
pop,2027078,40-44,15943173,Male
case of NMSC in 2016,4.054156,40-44,138.7056051,Male
pop,2465356,40-44,17691143,Male
case of NMSC in 2017,0,40-44,152.1438298,Male
pop,2831943,40-44,20862589,Male
case of NMSC in 2018,1.9823601,40-44,189.8495599,Male
Incident of NMSC in 2005,0,45-49,1.54,Male
Incident of NMSC in 2006,0.52,45-49,1.43,Male
Incident of NMSC in 2007,0,45-49,1.76,Male
Incident of NMSC in 2008,0,45-49,1.45,Male
Incident of NMSC in 2009,0.31,45-49,1.28,Male
Incident of NMSC in 2010,0,45-49,1.41,Male
Incident of NMSC in 2011,0,45-49,1.28,Male
Incident of NMSC in 2012,0.2,45-49,1.59,Male
Incident of NMSC in 2013,0.09,45-49,1.35,Male
Incident of NMSC in 2014,0,45-49,1.31,Male
Incident of NMSC in 2015,0.06,45-49,1.37,Male
Incident of NMSC in 2016,0.2,45-49,1.29,Male
Incident of NMSC in 2017,0,45-49,1.35,Male
Incident of NMSC in 2018,0.07,45-49,1.38,Male
Incident of NMSC in 2018,0-,45-49,45-49,Male
pop,173406,45-49,2461207,Male
case of NMSC in 2005,0,45-49,37.9025878,Male
pop,192243,45-49,2594751,Male
case of NMSC in 2006,0.9996636,45-49,37.1049393,Male
pop,214585,45-49,2506456,Male
